Model,Brand,Price,Max power,Max torque,Cooling System,Transmission,Transmission type,displacement,cylinders,Fuel Tank Capacity,Mileage,Top speed,Kerb weight,Location,Kilometer Driven,Seller Type,ground clearance,seat height
Honda Goldwing,Honda,3988635,124.7,170,liquid cooled,7 speed automatic,shaft drive,1833,6,21.1,nan,230,390,Salem,16000,Dealer,130,745
Honda Africa Twin,Honda,1601500,97.89,103,liquid cooled,6 speed manual,chain drive,1082,2,24.5,nan,200,239,Tirupur,54000,Dealer,210,810
Honda CB650R,Honda,914337,85.82,57.5,liquid cooled,6 speed manual,chain drive,648.72,4,15.4,nan,220,206,Erode,35000,Dealer,148,810
Yamaha MT 15 V2,Yamaha,165390,18.1,14.1,liquid cooled,6 speed manual,chain drive,155,1,10,46.5,130,139,Krishnagiri,15000,Dealer,170,810
Yamaha R15 V4,Yamaha,180687,18.1,14.2,liquid cooled,6 speed manual,chain drive,155,1,11,45,140,142,Coimbatore,32000,Dealer,170,815
Yamaha FZ S FI,Yamaha,121979,12.2,13.3,air cooled,5 speed manual,chain drive,149,1,13,46,115,135,Chennai,3500,Dealer,165,790
Yamaha FZ FI,Yamaha,113636,12.2,13.3,air cooled,5 speed manual,chain drive,149,1,13,46,115,135,Madurai,9000,Dealer,165,790
Yamaha R15S,Yamaha,163734,18.3,14.1,liquid cooled,6 speed manual,chain drive,155,1,11,45,136,142,Trichy,38000,Dealer,170,815
Yamaha FZ X,Yamaha,135240,12.2,13.3,air cooled,5 speed manual,chain drive,149,1,10,48,115,139,Kanyakumari,50000,Dealer,165,810
Yamaha FZ25,Yamaha,150623,20.51,20.1,air cooled,5 speed manual,chain drive,249,1,14,38,130,153,Salem,20000,Dealer,160,795
Yamaha Ray ZR 125,Yamaha,83273,8.04,10.3,air cooled,automatic,cvt,125,1,5.2,52,90,98,Tirupur,22000,Dealer,145,785
Yamaha Fascino 125,Yamaha,79456,8.04,10.3,air cooled,automatic,cvt,125,1,5.2,50,90,99,Erode,9432,Dealer,145,780
